"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0634c",790.049807313582,0.157086501951064,0.0857633199391698,0.054066924078833,0.0907215302524177
"Rv0635",996.636252774273,0.0877022905459947,0.0915518339153777,0.308174683795341,0.398702250310368
"Rv0636",1537.4788771019,0.335211998971189,0.0882197765561929,6.23173287148532e-05,0.000200676936274471
"Rv0637",1927.92795549162,0.0949196863342332,0.0672775477822708,0.143670110602273,0.210624440269338
"Rv0638",2288.7463256912,-0.0237984094781115,0.0616379843569383,0.669387926145802,0.742996310991307
"Rv0639",5473.25148299972,0.199293512693591,0.0547268560655696,0.0002109098495428,0.000616303065122494
"Rv0640",3423.29649473853,0.0514428301080207,0.0681184419587266,0.440884824406998,0.531989193755588
"Rv0641",7123.49301395847,-0.0880263672941373,0.0533502793013208,0.0919666618113238,0.143770209914951
"Rv0642c",4382.98362287368,-0.168517975190694,0.100208305665025,0.0713208222184649,0.115124085679032
"Rv0643c",1286.03218527399,-0.148465323985471,0.0659957044364076,0.0200517975336797,0.038101289436906
"Rv0644c",522.321716792098,0.103361598529908,0.0737482641692781,0.148866740972137,0.217104154325702
"Rv0645c",487.527657029662,0.133774528039598,0.100022204498101,0.153327628016388,0.222711459686331
"Rv0646c",1603.47960227712,-0.159823042716733,0.0677356967869926,0.0149568812663243,0.0293311226805581
"Rv0647c",2410.42142597903,-0.220095805267542,0.0487653136500713,4.24245894731857e-06,1.65414306210647e-05
"Rv0648",970.396865721612,0.471012528590244,0.0765320447787855,2.05421187743136e-10,1.53853119332289e-09
"Rv0649",125.550261196718,0.402786094040621,0.139679145974647,0.00125220549789522,0.00311251329070581
"Rv0650",181.44641351978,0.573279393350636,0.119340279531438,3.12526744040954e-07,1.46397981278077e-06
"Rv0651",1117.50380215749,-0.784231050414752,0.124097878826586,3.14281358149543e-11,2.65370904747501e-10
"Rv0652",1457.31804421682,-0.391865382885522,0.15350598410432,0.00338528967541032,0.00763639143632026
"Rv0653c",1624.8400775068,-0.585197815161177,0.138666701878967,4.33730903021603e-06,1.686165983692e-05
"Rv0654",619.049311286851,-0.313870394956671,0.0833910005858163,8.1386014933208e-05,0.000255867337066694
"Rv0655",14754.1946882434,-0.70696925256841,0.0807484108282486,2.69060569664701e-19,5.84728899211211e-18
"Rv0656c",129.261264955965,-0.294417727372003,0.161223534785094,0.0308313047351929,0.055083602395266
"Rv0657c",0,NA,NA,NA,NA
"Rv0658c",299.070302574674,-0.402694653451956,0.113314629236428,0.000123853470980998,0.000377734090560911
"Rv0659c",1682.94638769011,-0.622871016125714,0.0927736699830328,3.18050261859953e-12,3.06267770318894e-11
"Rv0660c",1023.25354094937,-0.0538780953269067,0.0860081777779028,0.480150896017769,0.571553461078321
"Rv0661c",30.9303620115061,-0.0174683777554982,0.205805258926562,0.903905691473647,0.931062661225251
"Rv0662c",37.0875589832974,0.148770704117279,0.205350806128677,0.32251845682169,0.41322677280279
"Rv0663",2329.26435175311,-0.287818018176616,0.0617648486399421,2.02616409791602e-06,8.38507244267638e-06
"Rv0664",82.0532683948873,-0.0857473102841022,0.152622970983533,0.506143751096664,0.594662835483437
"Rv0665",67.1800832487356,-0.0551128111393355,0.164566827104626,0.682283952100161,0.753106654871591
"Rv0666",0,NA,NA,NA,NA
"Rv0667",72769.6945606537,-0.0105140801163728,0.0775093201246442,0.88225512656933,0.916356395499144
"Rv0668",65698.7594818037,-0.275119144959186,0.106970299608406,0.00679091198507702,0.014403977047814
"Rv0669c",2231.2257303825,0.057601599475855,0.0649163839699598,0.362854507322017,0.456235338482346
